               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.080191,             0.01477,            0.014889,             0.48337,             0.34685,             0.28586,             0.10569,            0.077831,              0.0135,            0.011705,           0.0094879,           0.0094879,           0.0094879
                  48,            0.082151,            0.014727,            0.015849,             0.60107,             0.35041,             0.35449,             0.13506,            0.073336,            0.012925,            0.010669,           0.0094659,           0.0094659,           0.0094659
                  49,            0.079606,            0.014678,             0.01452,             0.66815,             0.34305,             0.37708,             0.13996,            0.073722,            0.012968,           0.0084685,           0.0094434,           0.0094434,           0.0094434
                  50,            0.079309,            0.014164,            0.015194,             0.71883,             0.39988,             0.41516,             0.16346,            0.073426,            0.011465,           0.0085143,           0.0094205,           0.0094205,           0.0094205
                  51,            0.080539,            0.014297,            0.014864,             0.65423,             0.38937,             0.39717,             0.14114,            0.073044,            0.012793,           0.0093846,           0.0093971,           0.0093971,           0.0093971
                  52,            0.081247,            0.014774,            0.015382,             0.55796,             0.37597,             0.35756,             0.13874,            0.072221,             0.01285,           0.0094669,           0.0093733,           0.0093733,           0.0093733
                  53,            0.081023,            0.014888,            0.013299,              0.6815,             0.39905,             0.38698,             0.15483,            0.073411,            0.012379,           0.0087424,           0.0093491,           0.0093491,           0.0093491
                  54,            0.081495,            0.014495,            0.015266,             0.81437,             0.35167,             0.40821,             0.14688,            0.073232,            0.012529,           0.0099519,           0.0093245,           0.0093245,           0.0093245
                  55,            0.078383,            0.014818,            0.014625,             0.46071,             0.25077,             0.25099,            0.082864,             0.08046,            0.013643,           0.0090329,           0.0092995,           0.0092995,           0.0092995
                  56,            0.080119,            0.014793,            0.015211,             0.68262,              0.3412,             0.36472,             0.14004,            0.076543,            0.013142,           0.0091018,            0.009274,            0.009274,            0.009274
                  57,            0.082048,               0.015,            0.014879,             0.63274,             0.34112,             0.35264,             0.12237,             0.07691,            0.013742,           0.0098908,           0.0092481,           0.0092481,           0.0092481
                  58,            0.082274,            0.014504,            0.015665,             0.66465,             0.38206,              0.3936,               0.151,            0.073611,            0.012709,           0.0087235,           0.0092219,           0.0092219,           0.0092219
                  59,            0.083407,            0.015111,            0.015848,             0.60852,             0.34694,             0.32841,             0.12464,             0.08129,            0.014238,            0.025351,           0.0091952,           0.0091952,           0.0091952
                  60,            0.082706,            0.014651,            0.014864,             0.60473,             0.25553,             0.27642,            0.098994,            0.077728,            0.014326,            0.010263,           0.0091681,           0.0091681,           0.0091681
                  61,            0.083598,            0.015401,             0.01408,             0.61774,             0.35558,             0.33958,             0.12209,            0.075562,            0.013242,            0.010001,           0.0091406,           0.0091406,           0.0091406
                  62,            0.083052,            0.014596,            0.014259,             0.56563,             0.35053,             0.30467,             0.11435,            0.077423,            0.013281,           0.0099045,           0.0091127,           0.0091127,           0.0091127
                  63,            0.080743,            0.014719,            0.013793,             0.72039,             0.35899,             0.39022,             0.14193,            0.079966,             0.01294,              0.0106,           0.0090844,           0.0090844,           0.0090844
                  64,            0.079141,            0.014876,            0.013383,             0.56984,             0.33383,             0.34753,              0.1265,            0.076302,            0.012684,            0.006801,           0.0090557,           0.0090557,           0.0090557
                  65,            0.078131,            0.014429,            0.012133,             0.80179,             0.43244,             0.46124,             0.17757,            0.071504,            0.011777,           0.0065339,           0.0090266,           0.0090266,           0.0090266
                  66,            0.078873,            0.014037,            0.013518,             0.76013,             0.41228,             0.42669,             0.16463,            0.071369,            0.012615,           0.0068805,           0.0089972,           0.0089972,           0.0089972
                  67,            0.082249,            0.015105,            0.015034,              0.7315,             0.39944,             0.41124,             0.14491,            0.072114,            0.012193,           0.0072863,           0.0089673,           0.0089673,           0.0089673
                  68,            0.079567,             0.01483,            0.012894,             0.73355,             0.40006,             0.41338,             0.14718,            0.075737,            0.012309,           0.0072066,           0.0089371,           0.0089371,           0.0089371
                  69,            0.082983,            0.013634,            0.014029,             0.70227,             0.41989,             0.41523,             0.16322,            0.073494,            0.012351,           0.0074502,           0.0089065,           0.0089065,           0.0089065
                  70,            0.080746,            0.014638,            0.012759,               0.779,             0.43343,             0.47041,             0.19308,            0.070531,            0.011957,           0.0064897,           0.0088755,           0.0088755,           0.0088755
                  71,            0.078021,            0.014241,            0.012345,             0.77421,              0.3964,             0.43349,             0.15197,            0.071306,            0.011634,           0.0056409,           0.0088442,           0.0088442,           0.0088442
                  72,            0.077013,            0.013678,            0.011443,               0.825,               0.436,             0.47117,             0.18186,            0.068754,            0.011485,           0.0054953,           0.0088124,           0.0088124,           0.0088124
                  73,            0.077609,            0.013865,            0.010714,             0.81845,             0.45165,             0.47581,             0.19272,            0.070608,            0.011423,           0.0057449,           0.0087804,           0.0087804,           0.0087804
                  74,            0.075241,            0.013072,             0.01026,               0.847,             0.43929,             0.48849,             0.19818,            0.070476,            0.011399,           0.0056268,           0.0087479,           0.0087479,           0.0087479
                  75,            0.076683,            0.014277,            0.011961,             0.84094,             0.44863,              0.4965,             0.20256,             0.06795,            0.011611,           0.0052306,           0.0087151,           0.0087151,           0.0087151
                  76,            0.074414,            0.013359,            0.010477,             0.76219,             0.46704,             0.48837,             0.20582,            0.068373,            0.011328,           0.0046457,            0.008682,            0.008682,            0.008682
                  77,            0.078281,            0.013425,            0.011146,             0.82638,             0.43558,             0.46847,             0.18261,            0.069895,            0.011653,           0.0051946,           0.0086485,           0.0086485,           0.0086485
                  78,            0.075949,            0.013645,             0.01027,             0.85252,             0.47168,             0.51297,             0.21811,            0.066832,             0.01134,           0.0053475,           0.0086146,           0.0086146,           0.0086146
                  79,            0.078436,            0.013312,            0.011028,             0.83649,             0.47239,             0.51024,             0.21195,            0.067662,            0.011267,           0.0058511,           0.0085805,           0.0085805,           0.0085805
                  80,            0.073968,            0.013246,            0.010746,             0.83422,             0.47025,             0.49683,             0.19655,             0.06796,             0.01127,           0.0059008,           0.0085459,           0.0085459,           0.0085459
                  81,            0.075364,            0.013502,            0.010106,             0.79811,             0.47708,              0.5106,             0.21242,            0.066584,            0.011125,           0.0041802,           0.0085111,           0.0085111,           0.0085111
                  82,            0.074056,            0.012947,           0.0096039,             0.83122,             0.46561,             0.49928,             0.20652,            0.066767,            0.011091,           0.0037486,           0.0084759,           0.0084759,           0.0084759
                  83,            0.072409,            0.013276,           0.0089591,             0.84262,             0.47896,              0.5198,             0.21225,            0.066175,            0.011087,           0.0047021,           0.0084404,           0.0084404,           0.0084404
                  84,            0.073016,            0.013833,            0.010048,             0.76429,             0.44146,               0.469,             0.17722,            0.068636,             0.01209,           0.0048539,           0.0084046,           0.0084046,           0.0084046
                  85,            0.076825,            0.013064,            0.010552,             0.63278,             0.39987,             0.42473,             0.16213,            0.069476,            0.011959,           0.0050356,           0.0083684,           0.0083684,           0.0083684
                  86,            0.077937,            0.013108,            0.011093,             0.80676,             0.45243,             0.47124,             0.19481,            0.068979,            0.011354,           0.0044556,           0.0083319,           0.0083319,           0.0083319
                  87,            0.076604,            0.014299,             0.01034,             0.85323,             0.41983,             0.46792,             0.18779,            0.069343,            0.011696,           0.0045881,           0.0082952,           0.0082952,           0.0082952
                  88,             0.07337,            0.014241,           0.0095743,             0.68169,             0.36305,             0.39326,             0.15473,            0.073237,             0.01189,           0.0048337,           0.0082581,           0.0082581,           0.0082581
                  89,            0.074655,            0.013489,           0.0088889,             0.83684,             0.46166,             0.51235,             0.19489,            0.068122,            0.011247,           0.0039998,           0.0082207,           0.0082207,           0.0082207
                  90,            0.072805,            0.013455,           0.0091842,             0.86174,             0.46023,             0.51455,               0.193,            0.066404,            0.011046,           0.0038215,            0.008183,            0.008183,            0.008183
                  91,            0.075661,             0.01316,           0.0089471,              0.8138,             0.45922,              0.5025,             0.20479,            0.067103,            0.011169,           0.0069826,            0.008145,            0.008145,            0.008145
                  92,            0.072709,            0.013928,            0.010114,             0.83536,             0.47195,             0.52742,             0.21957,             0.06489,            0.011195,            0.004833,           0.0081068,           0.0081068,           0.0081068
                  93,            0.073076,            0.012806,           0.0089053,             0.81801,             0.46798,             0.51774,             0.21967,            0.067915,            0.011111,           0.0039427,           0.0080682,           0.0080682,           0.0080682
                  94,              0.0756,            0.014226,            0.010171,             0.60534,              0.3413,               0.356,             0.13365,            0.075819,            0.014233,           0.0099219,           0.0080294,           0.0080294,           0.0080294
                  95,            0.076381,            0.014817,            0.011414,             0.56352,             0.25721,             0.26334,            0.091054,             0.08106,            0.013995,           0.0073828,           0.0079903,           0.0079903,           0.0079903
                  96,            0.077371,            0.014404,            0.011162,             0.68107,             0.38673,             0.42575,             0.15275,            0.072982,             0.01273,           0.0056548,           0.0079509,           0.0079509,           0.0079509
                  97,            0.076098,             0.01338,            0.010782,             0.69004,             0.45995,             0.45912,             0.17913,            0.074785,            0.011811,           0.0052509,           0.0079112,           0.0079112,           0.0079112
