               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,             0.07632,            0.022505,            0.019084,             0.47805,             0.31832,             0.28427,            0.078862,            0.067071,            0.016129,            0.024772,           0.0056094,           0.0056094,            0.036909
                  86,            0.078526,            0.021961,            0.018282,             0.31038,             0.23218,             0.15997,            0.032901,            0.075323,            0.017417,            0.022502,           0.0056467,           0.0056467,            0.036147
                  87,            0.078567,            0.022713,            0.019844,              0.4748,              0.3076,             0.26105,            0.080878,            0.067509,            0.016722,            0.022841,            0.005683,            0.005683,            0.035383
                  88,             0.07751,            0.022521,             0.02004,             0.27325,             0.16609,              0.1102,            0.022721,            0.072403,            0.017563,            0.032244,           0.0057184,           0.0057184,            0.034618
                  89,             0.07834,            0.021207,            0.016133,             0.39467,             0.28094,             0.21645,            0.050732,            0.067577,            0.016648,            0.023444,           0.0057529,           0.0057529,            0.033853
                  90,            0.077251,             0.02166,             0.01782,             0.54979,              0.3635,             0.33403,             0.10211,            0.063961,             0.01759,            0.019335,           0.0057866,           0.0057866,            0.033087
                  91,            0.077619,            0.022246,            0.019927,             0.56772,             0.32583,             0.31336,            0.098101,            0.065446,            0.020512,            0.017896,           0.0058193,           0.0058193,            0.032319
                  92,            0.077711,             0.02199,            0.018267,             0.57845,              0.3431,             0.33191,             0.10007,            0.064145,            0.017988,            0.026095,           0.0058511,           0.0058511,            0.031551
                  93,             0.07512,            0.022246,              0.0166,             0.55811,             0.30154,             0.29542,              0.1024,            0.065011,            0.018035,            0.021146,           0.0058821,           0.0058821,            0.030782
                  94,            0.079908,            0.022476,            0.019954,             0.35107,             0.20126,             0.15878,            0.048683,            0.069987,            0.022985,            0.034961,           0.0059121,           0.0059121,            0.030012
                  95,            0.077586,            0.022707,            0.018248,             0.50204,             0.24712,             0.23662,            0.075334,             0.07017,            0.018495,            0.019242,           0.0059412,           0.0059412,            0.029241
                  96,            0.079108,            0.022028,            0.017593,             0.40023,             0.30393,             0.22869,            0.055975,            0.070769,            0.019768,            0.021811,           0.0059693,           0.0059693,            0.028469
                  97,            0.076112,             0.02229,            0.015972,             0.56674,             0.36909,             0.31995,             0.10161,            0.065016,            0.023259,            0.021112,           0.0059966,           0.0059966,            0.027697
                  98,            0.079635,            0.022406,            0.017713,             0.44617,             0.23553,             0.20142,            0.053565,            0.069932,            0.022135,            0.027307,           0.0060229,           0.0060229,            0.026923
                  99,              0.0759,            0.022311,            0.017441,             0.51219,             0.25258,             0.24841,            0.076193,            0.069778,            0.018133,            0.019842,           0.0060482,           0.0060482,            0.026148
                 100,            0.075235,            0.021617,            0.016121,             0.52153,             0.25674,             0.25044,            0.083285,            0.072255,            0.017865,             0.02141,           0.0060727,           0.0060727,            0.025373
                 101,            0.077786,            0.021072,            0.015612,             0.63681,             0.36015,             0.35451,             0.12408,            0.065412,            0.016727,             0.01689,           0.0060962,           0.0060962,            0.024596
                 102,            0.077358,            0.022063,            0.017134,              0.5545,             0.34192,             0.31008,             0.10587,             0.06462,            0.019085,             0.02071,           0.0061187,           0.0061187,            0.023819
                 103,             0.07789,            0.022831,            0.017844,             0.46951,             0.23402,             0.20217,            0.067188,             0.07219,            0.028668,            0.036441,           0.0061404,           0.0061404,             0.02304
                 104,            0.077638,            0.022936,            0.016387,             0.46251,             0.28767,             0.26229,            0.080086,            0.069403,            0.027683,            0.031282,            0.006161,            0.006161,            0.022261
